wsf_id,wsf_default,wsf_required,wsf_disabled,wsf_hidden,Year
1,,,,,2021
2,,,,,2022
3,,,,,2023
4,,,,,2024
5,,,,,2025
6,,,,,2026
7,,,,,2027
8,,,,,2028
9,,,,,2029
10,,,,,2030
11,,,,,2031
12,,,,,2032
13,,,,,2033
14,,,,,2034
15,,,,,2035
16,,,,,2036
17,,,,,2037
18,,,,,2038
19,,,,,2039
20,,,,,2040
21,,,,,2041
22,,,,,2042
23,,,,,2043
24,,,,,2044
25,,,,,2045
26,,,,,2046
27,,,,,2047
28,,,,,2048
29,,,,,2049
30,,,,,2050
31,,,,,2051
32,,,,,2052
33,,,,,2053
34,,,,,2054
35,,,,,2055
36,,,,,2056
37,,,,,2057
38,,,,,2058
39,,,,,2059
40,,,,,2060
41,,,,,2061
42,,,,,2062
43,,,,,2063
44,,,,,2064
45,,,,,2065
46,,,,,2066
47,,,,,2067
48,,,,,2068
49,,,,,2069
50,,,,,2070
51,,,,,2071
52,,,,,2072
53,,,,,2073
54,,,,,2074
55,,,,,2075
56,,,,,2076
57,,,,,2077
58,,,,,2078
59,,,,,2079
60,,,,,2080
61,,,,,2081
62,,,,,2082
63,,,,,2083
64,,,,,2084
65,,,,,2085
66,,,,,2086
67,,,,,2087
68,,,,,2088
69,,,,,2089
70,,,,,2090
71,,,,,2091
72,,,,,2092
73,,,,,2093
74,,,,,2094
75,,,,,2095
76,,,,,2096
77,,,,,2097
78,,,,,2098
79,,,,,2099
80,,,,,2100
81,,,,,2101
82,,,,,2102
83,,,,,2103
84,,,,,2104
85,,,,,2105
86,,,,,2106
87,,,,,2107
88,,,,,2108
89,,,,,2109
90,,,,,2110
91,,,,,2111
92,,,,,2112
93,,,,,2113
94,,,,,2114
95,,,,,2115
96,,,,,2116
97,,,,,2117
98,,,,,2118
99,,,,,2119
100,,,,,2120
101,,,,,2121
